,Etablissement,Code de la Formation,Type de Diplôme,Type de formation,Enseignement,Paiement,Intitulé  du Programme,Domaine,Mention,Spécialité,Option
10,UCAD,454,Certificat d'Aptitude a l'Enseignement,Initiale,Présentielle,Mixte,"Certificat d'Aptitude à l'Enseignement secondaire technique et professionnel (CAESTP), Sciences, techniques et technologies industrielles",Sciences et Technologies,"Sciences,techniques et technolgies industrielles",Formation professionnelle et technique,"Construction mécanique, Electrotechnique, Fabrication mécanique, Maintenance véhicules moteurs, Structures et Ouvrages métalliques, Génie civil, Froid et Climatisation, Techniques agricoles, Techniques horticoles, Informatique, Maintenance industrielle"
11,UCAD,445,Autre Certificat,Non déterminée,Présentielle,Non déterminée,"Certificat d'aptitude au professorat de l'éducation physique et sportive, mention Sciences et Techniques des Activités Physiques, sportives, de jeunesse et du loisir, spécialité éducation et motricité",Sciences et Technologies,"Sciences et Techniques des Activites Physques,sportives,de jeunesse et du loisir",Education et Motricité,
12,UCAD,343,Diplôme Universitaire,Non déterminée,Présentielle,Non déterminée,Diplôme Universitaire en Horticulture (DUH),Sciences de l'Education et de la Formation,Didactique des mathématiques,Non déterminée,
13,UCAD,367,Diplôme d'Études,Continue,Présentielle,Payante,Diplôme d'Etudes Supérieures Spécialisées en Pêche et Aquaculture,Sciences et Technologies,Sciences de l'ingénieur,"Pêche, Aquaculture, Transformaion des produits halieutiques",
14,UCAD,375,Diplôme d'Ingénieur,Initiale,Présentielle,Non Payante,Diplôme d'Ingénieur géologue,Sciences et Technologies,Géosciences,Géologie,
15,UCAD,388,Autre,Non déterminée,Présentielle,Non déterminée,Diplôme de Technicien Supérieur Maintenance Informatique,Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Maintenance Informatique
16,UCAD,387,Autre,Non déterminée,Présentielle,Non déterminée,Diplôme de Technicien Supérieur en téléinformatique,Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Téléinformatique
17,UCAD,446,Diplôme Universitaire,Non déterminée,Présentielle,Non déterminée,"Diplôme universitaire en Sciences et Techniques des Activités Physiques, sportives, de jeunesse et du loisir, spécialité activités aquatiques",Sciences et Technologies,"Sciences et Techniques des Activites Physques,sportives,de jeunesse et du loisir",Entrainement Sportif et performance,
18,UCAD,392,Diplôme Universitaire,Initiale,Présentielle,Payante,"Diplôme unversitaire de Technologies en  sciences de l'ingénieur, spécialité génie agroalimentaire, biologique et chimique, option analyse biologique",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Analyses biologiques
19,UCAD,393,Diplôme Universitaire,Initiale,Présentielle,Payante,"Diplôme unversitaire de Technologies en  sciences de l'ingénieur, spécialité génie agroalimentaire, biologique et chimique, option génie chimique",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Génie Chimique
20,UCAD,394,Diplôme Universitaire,Initiale,Présentielle,Payante,"Diplôme unversitaire de Technologies en  sciences de l'ingénieur, spécialité génie agroalimentaire, biologique et chimique, option industrie alimentaire",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Industrrie Alimentaire
21,UCAD,389,Diplôme Universitaire,Initiale,Présentielle,Payante,"Diplôme unversitaire de Technologies en  sciences de l'ingénieur, spécialité génie civil",Sciences et Technologies,Sciences de l'ingénieur,Génie  Civil,
22,UCAD,395,Diplôme Universitaire,Initiale,Présentielle,Payante,"Diplôme unversitaire de Technologies en  sciences de l'ingénieur, spécialité génie informatique, option informatique",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Informatique
23,UCAD,396,Diplôme Universitaire,Initiale,Présentielle,Payante,"Diplôme unversitaire de Technologies en  sciences de l'ingénieur, spécialité génie informatique, option télécommunications et réseaux",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Télécommunications et Réseaux
24,UCAD,391,Diplôme Universitaire,Initiale,Présentielle,Payante,"Diplôme unversitaire de Technologies en  sciences de l'ingénieur, spécialité génie mécanique",Sciences et Technologies,Sciences de l'ingénieur,Génie  Mécanique ,
25,UCAD,390,Diplôme Universitaire,Initiale,Présentielle,Payante,"Diplôme unversitaire de Technologies en  sciences de l'ingénieur, spécialité génie électrique",Sciences et Technologies,Sciences de l'ingénieur,Génie  Electrique,
26,UCAD,833,Doctorat,Initiale,Présentielle,Non Payante,"Doctorat en Sciences et Technologie, mention Sciences de l'ingénieurie, spécialité Sciences du Climat, de l’Atmosphère et de l’Océan",Sciences et Technologies,Sciences de l'ingénieur,"Sciences du Climat, de l'Atmosphère et de l'Océan",
27,UCAD,720,Diplôme de Licence,Mixte,Non déterminée,Mixte,Licence Professionnelle en Conception et Fabrication Assistées par Ordinateur,Sciences et Technologies,Sciences de l'ingénieur,Conception et Fabrication Assistées par Ordinateur,
28,UCAD,298,Diplôme de Licence,Initiale,Présentielle,Mixte,"Licence Professionnelle en sciences et Technologie, mention géosciences, spécialité géotechnique - géominier",Sciences et Technologies,Géosciences,Mines et Géotechnique,
29,UCAD,292,Diplôme de Licence,Initiale,Présentielle,Non Payante,Licence en  Sciences et Technologie mention chimie,Sciences et Technologies,Chimie,Chimie fondamentale et appliquée,
30,UCAD,336,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en  Sciences et Technologie, mention physique-chimie",Sciences et Technologies,Physique-Chimie,Physique-chimie,
31,UCAD,328,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en  physique, chimie,science de la matière, mention physique",Sciences et Technologies,Physique,Physique fondamentale et appliquée,
32,UCAD,291,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en Biologie, Chimie et Géosciences, mention chimie",Sciences de l'Education et de la Formation,Didactique des mathématiques,Non déterminée,
33,UCAD,297,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence en Biologie, Chimie, Géosciences, mention géosciences",Sciences de l'Education et de la Formation,Didactique des mathématiques,Non déterminée,
34,UCAD,345,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en Biologie, Chimie, Géosciences, mention sciences de la vie",Sciences de l'Education et de la Formation,Didactique des mathématiques,Non déterminée,
35,UCAD,357,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en Biologie, Chimie, Géosciences, mention sciences de la vie et de la Terre",Sciences de l'Education et de la Formation,Didactique des mathématiques,Non déterminée,
36,UCAD,721,Diplôme de Licence,Mixte,Présentielle,Mixte,Licence en Constructions et Ouvrages,Sciences et Technologies,Sciences de l'ingénieur,Constructions et Ouvrages,
37,UCAD,316,Diplôme de Licence,Initiale,Présentielle,Mixte,"Licence en Mathématiques, Physique, Informatique, mention mathématiques pour l'enseignement",Sciences et Technologies,Mathématiques,Enseignement,
38,UCAD,722,Diplôme de Licence,Mixte,Non déterminée,Mixte,Licence en Mécanique et Procédés de Fabrication,Sciences et Technologies,Sciences de l'ingénieur,Mécaniques et Procédés de Fabrication,
39,UCAD,723,Diplôme de Licence,Mixte,Présentielle,Mixte,Licence en Mécatronique,Sciences et Technologies,Sciences de l'ingénieur,Mécatronique,
40,UCAD,724,Diplôme de Licence,Mixte,Non déterminée,Mixte,Licence en Systèmes Electro-Energétiques,Sciences et Technologies,Sciences de l'ingénieur,Systèmes Electro-Energétiques,
41,UCAD,715,Diplôme de Licence,Mixte,Présentielle,Mixte,Licence en Techniques d'Analyses chimiques et biologiques,Sciences et Technologies,Chimie-Biologie,Technique d'Analyses chimiques et biologiques,Chimie Bilogie
42,UCAD,314,Diplôme de Licence,Mixte,Hybride,Mixte,"Licence en mathématiques, Spécialité : enseignement",Sciences de l'Education et de la Formation,Didactique des mathématiques,Non déterminée,
43,UCAD,315,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en mathématiques, physique, informatique, mention mathématiques",Sciences de l'Education et de la Formation,Didactique des mathématiques,Non déterminée,
44,UCAD,304,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence en mathématiques, physique, informatique, mention mathématiques et informatique appliquées, spécialité transmission de données et sécurité de l'informationn, option mathématique, cryptographie et Sécurité",Sciences et Technologies,Informatiques,transmission de données et sécurité de l'information,Mathématiques
45,UCAD,327,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en mathématiques, physique, informatique, mention physique",Sciences de l'Education et de la Formation,Didactique des mathématiques,Non déterminée,
46,UCAD,302,Diplôme de Licence,Initiale,Présentielle,Mixte,"Licence en sciences et technologies, mention informatique, spécialité génie logiciel",Sciences et Technologies,Informatiques,Génie Logiciel,
47,UCAD,303,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en sciences et technologies, mention informatique, spécialité réseaux et systèmes",Sciences et Technologies,Informatiques,Réseaux et Systèmes,
48,UCAD,322,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en sciences et technologies, mention mathematiques et informatique appliquees spécialité transmission de données et sécurité de l'information, option mathematiques cryptographie et informatique",Sciences et Technologies,Mathématiques et Informatique appliquées,transmission de données et sécurité de l'information,cryptographie et informatique
49,UCAD,321,Diplôme de Licence,Initiale,Présentielle,Mixte,"Licence en sciences et technologies, mention mathématiques et informatique appliquées, spécialité bioinformatique et biomathématique",Sciences et Technologies,Mathématiques et Informatique appliquées,Bioinformatique et biomathématiques,
50,UCAD,412,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,Licence professionnelle en  Génie électrique option énergies renouvelables,Sciences et Technologies,Sciences de l'ingénieur,Génie électrique,Energies renouvelables
51,UCAD,403,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en  génie mécanique, option électromécanique",Sciences et Technologies,Sciences de l'ingénieur,Génie mécanique,Electromécanique
52,UCAD,414,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en  sciences de l'ingénieur, spécialité Génie agroalimentaire, biologique et chimique, option Génie biomédical",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Génie Biomédical
53,UCAD,408,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en  sciences de l'ingénieur, spécialité Génie agroalimentaire, biologique et chimique, option Qualité Hygiène sécurité, environnement",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Qualité Hygiène Séccurité Environnement
54,UCAD,413,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en  sciences de l'ingénieur, spécialité Génie agroalimentaire, biologique et chimique, option biologie et biotechnologies",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Biologique et  Biotechnologie
55,UCAD,409,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en  sciences de l'ingénieur, spécialité Génie civil, option conducteur de travaux en BTP",Sciences et Technologies,Sciences de l'ingénieur,Génie civil,conducteur de travaux en BTP
56,UCAD,410,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en  sciences de l'ingénieur, spécialité Génie civil, option géomètre-topographe",Sciences et Technologies,Sciences de l'ingénieur,Génie civil,Géomètre - Topographhe
57,UCAD,416,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en  sciences de l'ingénieur, spécialité Génie électrique option maitrise de l'énergie et technologies d'énergies renouvelables dans le Bâtiment",Sciences et Technologies,Sciences de l'ingénieur,Génie électrique,Maitrise de l'Energie et Technologies d'Energies  renouvelables dans le Bâtiment
58,UCAD,406,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en  sciences de l'ingénieur, spécialité génie informatique, option Systèmes Réseaux et Télécommunications",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Systèmes Réseaux et Télécommunications
59,UCAD,415,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,Licence professionnelle en Génie civil,Sciences et Technologies,Sciences de l'ingénieur,Génie civil,
60,UCAD,411,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,Licence professionnelle en Génie électrique option distribution électrique et automatismes,Sciences et Technologies,Sciences de l'ingénieur,Génie électrique,Distribution électriique et Automatismes
61,UCAD,449,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en Sciences et Techniques des Activités Physiques, sportives, de jeunesse et du loisir, spécialité activités socio-éducatives",Sciences et Technologies,"Sciences et Techniques des Activites Physques,sportives,de jeunesse et du loisir",Activités socioéducatives,
62,UCAD,448,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en Sciences et Techniques des Activités Physiques, sportives, de jeunesse et du loisir, spécialité éducation et motricité",Sciences et Technologies,"Sciences et Techniques des Activites Physques,sportives,de jeunesse et du loisir",Education et Motricité,
63,UCAD,417,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en Sciences et Techniques, mention sciences de l'ingénieur, spécialité Génie agroalimentaire, biologique et chimique, option technologie et microbiologie alimentaire",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Technologie et Microobiologie Alimentaire
64,UCAD,418,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en Sciences et Techniques, mention sciences de l'ingénieur, spécialité génie informatique, option téléinformatique",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Téléinformatique
65,UCAD,404,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en génie mécanique, option conception et fabrication assistées par ordinateur",Sciences et Technologies,Sciences de l'ingénieur,Génie mécanique,Conception et Fabrication assistées par Ordinateur
66,UCAD,402,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en génie mécanique, option gestion des sytèmes industriels et de la production",Sciences et Technologies,Sciences de l'ingénieur,Génie mécanique,Gestion des Systèmes Industriels et de la Production
67,UCAD,405,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en génie mécanique, option maintenance industrielle",Sciences et Technologies,Sciences de l'ingénieur,Génie mécanique,Maintenance Industrielle
68,UCAD,397,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en génie électrique, option Ellectronique et Systèmes des Télécommunications",Sciences et Technologies,Sciences de l'ingénieur,Génie électrique,Electronique et Systèmes des Télécommunications
69,UCAD,407,Diplôme de Licence,Mixte,Présentielle,Mixte,"Licence professionnelle en sciences de l'ingénieur, spécialité pêche, aquacuture, transformation des produits halieutiques",Sciences et Technologies,Sciences de l'ingénieur,"Pêche, Aquaculture, Transformaion des produits halieutiques",
70,UCAD,401,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en sciences et technologies, mention génie mécanique, option plasturgie",Sciences et Technologies,Sciences de l'ingénieur,Génie mécanique,Plasturgie
71,UCAD,398,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en sciences et technologies, mention génie électrique",Sciences et Technologies,Sciences de l'ingénieur,Génie électrique,
72,UCAD,399,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en sciences et technologies, mention génie électrique, option maintenance industrielle",Sciences et Technologies,Sciences de l'ingénieur,Génie électrique,Maintenance Industrielle
73,UCAD,400,Diplôme de Licence,Non déterminée,Présentielle,Non déterminée,"Licence professionnelle en sciences et technologies, mention sciences de l'ingénieur, spécialité génie informatique, option génie logiciel et sytèmes d'information",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Génie Logiciel et en Système d'Information
74,UCAD,346,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence professionnelle en sciences et technologies, mention sciences de la vie, spécialité bilogie animale, option production animale",Sciences et Technologies,Sciences de la Vie,Biologie animale,Production animale
75,UCAD,348,Diplôme de Licence,Initiale,Présentielle,Mixte,"Licence professionnelle en sciences et technologies, mention sciences de la vie, spécialité biologie végétale, option agroressources et entreprenariat",Sciences et Technologies,Sciences de la Vie,Biologie végétale,Agroressources et entreprenariat
76,UCAD,347,Diplôme de Licence,Initiale,Présentielle,Mixte,"Licence professionnelle en sciences et technologies, mention sciences de la vie, spécialité biologie végétale, option sciences et technologies des semences",Sciences et Technologies,Sciences de la Vie,Biologie végétale,Science et technologies des semences
77,UCAD,344,Diplôme de Licence,Initiale,Présentielle,Mixte,"Licence professionnelle en sciences et technologies, mention sciences de la vie, spécialitébiologie végétale, option agriculture écologique et biologique",Sciences et Technologies,Sciences de la Vie,Biologie végétale,Agriculture écologique et biologique
78,UCAD,893,Diplôme de Master,Initiale,Présentielle,Payante,Master  en Sciences de la Vie spécialité Biologie animale option Biotechnolgies et physiologie cardiovasculaire,Sciences et Technologies,Sciences de la Vie,Biologie animale,Biotechnolgies et physiologie cardiovascualires
79,UCAD,719,Diplôme de Master,Initiale,Présentielle,Non Payante,Master de Modélisation de Systèmes et Phénomènes Physiques,Sciences et Technologies,Physique,Modélisation,
80,UCAD,425,Diplôme de Master,Initiale,Présentielle,Non Payante,Master de recherche option Energies Renouvelables et Systèmes Energétiques,Sciences et Technologies,Sciences de l'ingénieur,Energies Renouvelables et Systèmes Energétiques,
81,UCAD,423,Diplôme de Master,Initiale,Présentielle,Non Payante,Master de recherche option Génie des Procédés et Environnement,Sciences et Technologies,Sciences de l'ingénieur,Génie des Procédés et Environnement,
82,UCAD,428,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master de recherche option Informatique, Modélisation et Simulation des systèmes complexes",Sciences et Technologies,Sciences de l'ingénieur,"Informatique, Modélisation et Simulation des systèmes complexes",
83,UCAD,426,Diplôme de Master,Initiale,Présentielle,Non Payante,Master de recherche option Modélisation et traitement de l'Information,Sciences et Technologies,Sciences de l'ingénieur,Modélisation et traitement de l'Information,
84,UCAD,424,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master de recherche option Météorologie, Océanographie et Gestion des Millieux Arides",Sciences et Technologies,Sciences de l'ingénieur,"Météorologie, Océanographie et Gestion des Millieux Arides",
85,UCAD,429,Diplôme de Master,Initiale,Présentielle,Non Payante,Master de recherche option Systèmes Complexes,Sciences et Technologies,Sciences de l'ingénieur,Systèmes Complexes,
86,UCAD,427,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master de recherche option Thermique, Systèmes Energétiques et Environnement",Sciences et Technologies,Sciences de l'ingénieur,"Thermique, Systèmes Energétiques et Environnement",
87,UCAD,420,Diplôme de Master,Non déterminée,Présentielle,Non déterminée,"Master en  génie agroalimentaire, biologique et chimique, option Qualité, Sécurité et Environneement",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique","Qualité, Sécurité et Environneement"
88,UCAD,431,Diplôme de Master,Non déterminée,Présentielle,Non déterminée,Master en  génie mécanique option électromécanique,Sciences et Technologies,Sciences de l'ingénieur,Génie mécanique,Electromécanique
89,UCAD,441,Diplôme de Master,Non déterminée,Présentielle,Non déterminée,"Master en  sciences de l'ingénieur, spécialité génie informatique option Global e - Business",Sciences et Technologies,Sciences de l'ingénieur,génie informatique, Global e - Business
90,UCAD,430,Diplôme de Master,Non déterminée,Présentielle,Non déterminée,"Master en  sciences de l'ingénieur, spécialité génie informatique option génie logiciel et systèmes d'information",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Génie Logiciel et Système d'Information
91,UCAD,436,Diplôme de Master,Non déterminée,Présentielle,Non déterminée,"Master en  sciences de l'ingénieur, spécialité génie informatique option jeux video, interaction numérique et donnees massives",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,"Jeux Video, Interaction Numerique et Donnees Massives"
92,UCAD,438,Diplôme de Master,Non déterminée,Présentielle,Non déterminée,"Master en  sciences de l'ingénieur, spécialité génie informatique option management de la sécurité des systèmes d'information",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Management de la sécurité des systèmes d'information
93,UCAD,442,Diplôme de Master,Non déterminée,Présentielle,Non déterminée,"Master en  sciences de l'ingénieur, spécialité génie informatique option systèmes, réseaux et télécommunications",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,"Systèmes, Réseaux et Télécommunications"
94,UCAD,443,Diplôme de Master,Non déterminée,Présentielle,Non déterminée,"Master en  sciences de l'ingénieur, spécialité génie informatique option techniques de sécurité des systèmes d'information",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Techniques de sécurité des systèmes d'information
95,UCAD,439,Diplôme de Master,Non déterminée,Présentielle,Non déterminée,"Master en  sciences de l'ingénieur, spécialité génie informatique option téléinformatique",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Téléinformatique
96,UCAD,432,Diplôme de Master,Non déterminée,Présentielle,Non déterminée,"Master en  sciences de l'ingénieur, spécialité génie mécanique option mécatronique",Sciences et Technologies,Sciences de l'ingénieur,Génie mécanique,Mécatronique
97,UCAD,421,Diplôme de Master,Non déterminée,Présentielle,Non déterminée,"Master en  sciences de l'ingénieur, spécialité génie électrique, option Maitrise de l' Energie Electrique et de son Environnement",Sciences et Technologies,Sciences de l'ingénieur,Génie électrique,Maitrise de l' Energie Electrique et de son Environnement
98,UCAD,718,Diplôme de Master,Mixte,Présentielle,Mixte,Master en Ingénerie Mathématique et Numérique,Sciences et Technologies,Mathématiques-Physique-Informatique,Mathématiques,
99,UCAD,317,Diplôme de Master,Mixte,Hybride,Non Payante,"Master en Mathématiques, Spécialité : enseignement",Sciences et Technologies,Mathématiques,Enseignement,
100,UCAD,338,Diplôme de Master,Mixte,Hybride,Non Payante,"Master en Physique-Chimie, Spécialité : Enseignement",Sciences et Technologies,Physique-Chimie,Enseignement,
101,UCAD,713,Diplôme de Master,Mixte,Non déterminée,Payante,Master en Production Animale,Sciences et Technologies,Biologie Animale,Santé et Production Animale,
102,UCAD,361,Diplôme de Master,Mixte,Hybride,Non Payante,"Master en Sciences de la Vie et de la Terre, Spécialité : Enseignement",Sciences et Technologies,Sciences de la Vie et de la Terre,Enseignement,
103,UCAD,299,Diplôme de Master,Initiale,Présentielle,Mixte,"Master en Sciences et Technologie, mention Géosciences, spécialité environnements sédimentaires, option biostratigraphie et paleoenvironnement",Sciences et Technologies,Géosciences,Environnements Sédimentaires,Biostratigraphie et paleoenvironnement
104,UCAD,543,Diplôme de Master,Initiale,Non déterminée,Non Payante,"Master en Sciences et Technologie, mention Géosciences, spécialité environnements sédimentaires, option géologie marine et littorale",Sciences et Technologies,Géosciences,Environnements Sédimentaires,Géologie marine et littorale
105,UCAD,545,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en Sciences et Technologie, mention Géosciences, spécialité environnements sédimentaires, option géoressources et environnment",Sciences et Technologies,Géosciences,Environnements Sédimentaires,Géressources et environnement
106,UCAD,544,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en Sciences et Technologie, mention Géosciences, spécialité environnements sédimentaires, option sédimentologie géochilie et envoronnements actuels",Sciences et Technologies,Géosciences,Environnements Sédimentaires,Sédimentologie géochimie et environnements actuels
107,UCAD,329,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en Sciences et Technologie, mention Physique, spécialité atome",Sciences et Technologies,Physique,Atome,
108,UCAD,573,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en Sciences et Technologie, mention Physique, spécialité molécule",Sciences et Technologies,Physique,Molécule,
109,UCAD,332,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en Sciences et Technologie, mention Physique, spécialité mécanique des fluides et applications",Sciences et Technologies,Physique,Mécanique des Fluides et Applications,
110,UCAD,574,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en Sciences et Technologie, mention Physique, spécialité noyau et particule",Sciences et Technologies,Physique,Noyau et particule,
111,UCAD,333,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en Sciences et Technologie, mention Physique, spécialité physique atomique et nucléaire",Sciences et Technologies,Physique,Physique atomique et nucléaire,
112,UCAD,334,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en Sciences et Technologie, mention Physique, spécialité physique de la matière condensée",Sciences et Technologies,Physique,Physique de la Matière condensée,
113,UCAD,335,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en Sciences et Technologie, mention Physique, spécialité science et génie des matériaux",Sciences et Technologies,Physique,Science et Génie des Matériaux,
114,UCAD,330,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en Sciences et Technologie, mention Physique, spécialité électronique, systèmes, télécommunications",Sciences et Technologies,Physique,Electronique Système Télécommunications,
115,UCAD,331,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en Sciences et Technologie, mention Physique, spécialité énergie soolaire, matériaux et systèmes",Sciences et Technologies,Physique,"Energie solaire, Matériaux et Systèmes",
116,UCAD,296,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en Sciences et Technologie, mention chimie, spécialité Spectroscopie, Electrochimie, Chimie Analytique",Sciences et Technologies,Chimie,"Spectroscopie, Electrochimie, Chimie Analytique",
117,UCAD,538,Diplôme de Master,Initiale,Présentielle,Payante,"Master en Sciences et Technologie, mention chimie, spécialité chimie et biologie, option biotechnologie",Sciences et Technologies,Chimie,Chimie et Biologie,Biotechnologie
