Philo,HG,Fr,Anglais,LV2,PC_SVT,Maths,Oral_LV1
9.0,12.0,12.0,16.0,14.0,14.0,13.0,10
15.0,10.0,13.0,9.0,11.0,8.0,19.0,10
14.0,8.0,11.0,13.0,10.0,15.0,14.0,11
16.0,6.0,15.0,13.0,16.0,10.0,9.0,11
8.0,14.0,13.0,6.0,10.0,12.0,7.0,14
11.0,12.0,10.0,6.0,16.0,13.0,13.0,10
10.0,13.0,9.0,12.0,13.0,14.0,10.0,13
9.0,17.0,7.0,13.0,12.0,15.0,10.0,14
8.0,12.0,7.0,8.0,12.0,12.0,6.0,12
17.0,12.0,17.0,16.0,12.0,10.0,7.0,10
16.0,18.0,13.0,12.0,9.0,8.0,12.0,10
17.0,11.0,15.0,14.0,12.0,9.0,11.0,14
7.0,15.0,14.0,8.0,9.0,7.0,13.0,14
14.0,9.0,10.0,14.0,6.0,13.0,18.0,14
18.0,12.0,12.0,15.0,15.0,18.0,13.0,14
13.0,13.0,19.0,9.0,17.0,13.0,14.0,13
9.0,12.0,9.0,6.0,13.0,7.0,13.0,13
8.0,11.0,11.0,6.0,12.0,10.0,6.0,10
19.0,14.0,14.0,13.0,16.0,11.0,15.0,10
16.0,11.0,13.0,13.0,7.0,14.0,12.0,12
17.0,13.0,9.0,13.0,10.0,6.0,12.0,12
7.0,17.0,14.0,16.0,14.0,12.0,15.0,11
6.0,15.0,12.0,6.0,12.0,15.0,10.0,13
17.0,17.0,10.0,9.0,11.0,10.0,15.0,15
16.0,15.0,15.0,12.0,12.0,10.0,19.0,12
16.0,15.0,10.0,7.0,9.0,11.0,11.0,14
15.0,11.0,15.0,14.0,15.0,12.0,15.0,11
13.0,13.0,12.0,12.0,13.0,15.0,10.0,12
11.0,12.0,16.0,12.0,15.0,16.0,12.0,12
18.0,9.0,7.0,8.0,9.0,10.0,11.0,13
14.0,10.0,10.0,14.0,12.0,13.0,11.0,14
7.0,12.0,12.0,14.0,12.0,9.0,18.0,11
7.0,6.0,10.0,10.0,14.0,10.0,12.0,14
13.0,15.0,6.0,13.0,7.0,16.0,9.0,13
9.0,14.0,12.0,12.0,15.0,10.0,10.0,11
16.0,10.0,13.0,7.0,12.0,11.0,13.0,11
19.0,6.0,8.0,11.0,13.0,6.0,12.0,13
9.0,12.0,8.0,19.0,13.0,15.0,6.0,10
9.0,11.0,19.0,9.0,13.0,9.0,11.0,14
6.0,6.0,9.0,15.0,15.0,11.0,7.0,14
16.0,11.0,8.0,10.0,11.0,19.0,12.0,14
10.0,10.0,6.0,17.0,8.0,12.0,8.0,10
9.0,6.0,12.0,19.0,19.0,14.0,17.0,13
9.0,8.0,16.0,9.0,19.0,17.0,8.0,15
11.0,11.0,15.0,11.0,12.0,6.0,18.0,13
15.0,12.0,6.0,13.0,19.0,14.0,17.0,10
6.0,11.0,11.0,16.0,8.0,15.0,16.0,14
12.0,11.0,14.0,8.0,6.0,6.0,13.0,10
11.0,11.0,10.0,11.0,19.0,11.0,8.0,10
7.0,8.0,14.0,11.0,10.0,11.0,6.0,14
8.0,10.0,10.0,13.0,15.0,9.0,13.0,13
13.0,9.0,14.0,15.0,6.0,13.0,13.0,14
13.0,6.0,16.0,11.0,9.0,6.0,13.0,11
11.0,6.0,18.0,7.0,14.0,8.0,11.0,12
14.0,11.0,14.0,12.0,18.0,15.0,14.0,12
9.0,10.0,13.0,19.0,18.0,13.0,17.0,14
13.0,13.0,12.0,11.0,14.0,19.0,11.0,15
17.0,16.0,12.0,15.0,11.0,13.0,18.0,14
18.0,12.0,12.0,7.0,15.0,10.0,9.0,11
13.0,12.0,7.0,17.0,6.0,6.0,16.0,12
11.0,6.0,16.0,15.0,11.0,12.0,13.0,11
15.0,11.0,8.0,11.0,10.0,6.0,10.0,11
8.0,12.0,16.0,14.0,19.0,14.0,12.0,10
8.0,15.0,13.0,6.0,9.0,14.0,10.0,15
14.0,13.0,19.0,6.0,11.0,7.0,8.0,14
19.0,16.0,14.0,12.0,12.0,19.0,8.0,14
17.0,16.0,8.0,13.0,9.0,12.0,15.0,14
13.0,17.0,15.0,6.0,15.0,7.0,6.0,15
11.0,10.0,19.0,16.0,15.0,12.0,16.0,12
10.0,16.0,10.0,12.0,13.0,9.0,19.0,10
13.0,11.0,8.0,10.0,12.0,14.0,6.0,14
10.0,19.0,13.0,12.0,11.0,11.0,13.0,12
18.0,17.0,10.0,9.0,14.0,10.0,16.0,10
16.0,9.0,6.0,7.0,12.0,7.0,13.0,14
13.0,12.0,11.0,9.0,14.0,6.0,14.0,14
19.0,17.0,12.0,11.0,14.0,11.0,18.0,11
10.0,11.0,7.0,14.0,6.0,15.0,14.0,14
7.0,14.0,11.0,10.0,7.0,6.0,6.0,10
6.0,12.0,8.0,19.0,13.0,16.0,9.0,15
18.0,10.0,16.0,13.0,15.0,7.0,8.0,14
16.0,14.0,10.0,14.0,12.0,10.0,19.0,10
6.0,11.0,15.0,14.0,19.0,14.0,14.0,10
10.0,18.0,10.0,11.0,11.0,14.0,10.0,11
12.0,10.0,6.0,9.0,19.0,10.0,13.0,14
19.0,9.0,15.0,17.0,8.0,18.0,15.0,15
7.0,12.0,7.0,19.0,19.0,12.0,9.0,13
14.0,8.0,11.0,8.0,11.0,14.0,13.0,12
15.0,10.0,15.0,12.0,13.0,18.0,12.0,14
8.0,15.0,8.0,12.0,12.0,6.0,6.0,13
8.0,13.0,16.0,12.0,19.0,15.0,6.0,11
14.0,8.0,9.0,11.0,11.0,13.0,15.0,14
16.0,10.0,12.0,17.0,8.0,16.0,15.0,11
11.0,17.0,14.0,15.0,18.0,12.0,8.0,13
10.0,8.0,16.0,11.0,10.0,10.0,16.0,15
13.0,15.0,13.0,9.0,8.0,17.0,11.0,14
15.0,8.0,11.0,10.0,9.0,14.0,15.0,11
11.0,19.0,12.0,6.0,14.0,7.0,10.0,15
13.0,16.0,14.0,9.0,17.0,13.0,17.0,15
17.0,12.0,9.0,15.0,12.0,12.0,13.0,10
9.0,8.0,10.0,13.0,11.0,14.0,15.0,10
14.0,8.0,6.0,8.0,7.0,15.0,15.0,14
6.0,10.0,11.0,9.0,11.0,9.0,10.0,14
12.0,13.0,9.0,15.0,9.0,10.0,11.0,12
8.0,14.0,9.0,8.0,18.0,11.0,10.0,10
6.0,11.0,18.0,10.0,11.0,15.0,15.0,15
16.0,15.0,11.0,9.0,14.0,14.0,14.0,14
9.0,10.0,18.0,10.0,14.0,12.0,6.0,14
14.0,8.0,18.0,10.0,9.0,11.0,12.0,14
10.0,11.0,16.0,12.0,15.0,12.0,14.0,12
9.0,18.0,8.0,6.0,7.0,8.0,11.0,13
18.0,7.0,15.0,8.0,17.0,14.0,19.0,13
11.0,15.0,15.0,10.0,12.0,9.0,9.0,15
9.0,7.0,15.0,11.0,8.0,12.0,13.0,14
10.0,16.0,11.0,12.0,19.0,10.0,12.0,11
13.0,7.0,10.0,15.0,18.0,9.0,14.0,10
11.0,10.0,7.0,13.0,6.0,14.0,13.0,11
13.0,11.0,7.0,6.0,12.0,14.0,12.0,12
8.0,15.0,19.0,10.0,8.0,10.0,19.0,13
9.0,10.0,11.0,11.0,15.0,10.0,7.0,11
13.0,12.0,19.0,17.0,19.0,12.0,14.0,10
14.0,12.0,6.0,14.0,13.0,18.0,16.0,11
10.0,13.0,8.0,17.0,11.0,7.0,6.0,13
15.0,14.0,8.0,19.0,10.0,18.0,9.0,14
13.0,10.0,19.0,16.0,13.0,13.0,13.0,15
13.0,7.0,14.0,17.0,9.0,7.0,7.0,15
8.0,16.0,14.0,7.0,17.0,11.0,14.0,10
11.0,8.0,13.0,10.0,13.0,12.0,7.0,10
14.0,10.0,14.0,15.0,14.0,16.0,19.0,15
11.0,9.0,8.0,16.0,9.0,14.0,17.0,11
9.0,18.0,8.0,15.0,12.0,6.0,12.0,12
18.0,11.0,7.0,16.0,16.0,8.0,12.0,15
7.0,6.0,15.0,15.0,18.0,15.0,11.0,12
16.0,9.0,10.0,12.0,10.0,11.0,9.0,12
16.0,18.0,16.0,19.0,16.0,15.0,7.0,15
13.0,6.0,16.0,13.0,12.0,10.0,9.0,12
12.0,11.0,13.0,7.0,10.0,18.0,6.0,14
10.0,7.0,13.0,15.0,10.0,9.0,11.0,13
16.0,9.0,11.0,16.0,8.0,7.0,15.0,11
17.0,15.0,19.0,8.0,10.0,14.0,6.0,11
10.0,19.0,17.0,8.0,19.0,18.0,13.0,15
10.0,15.0,18.0,12.0,9.0,14.0,14.0,14
6.0,7.0,8.0,15.0,7.0,11.0,13.0,14
8.0,8.0,9.0,11.0,8.0,19.0,14.0,15
16.0,8.0,8.0,7.0,8.0,14.0,16.0,11
16.0,15.0,6.0,10.0,13.0,15.0,11.0,14
13.0,11.0,11.0,14.0,9.0,9.0,13.0,12
13.0,12.0,15.0,10.0,13.0,16.0,9.0,15
10.0,17.0,11.0,15.0,9.0,9.0,7.0,14
7.0,16.0,12.0,9.0,16.0,13.0,14.0,10
12.0,15.0,6.0,6.0,10.0,12.0,12.0,12
9.0,14.0,13.0,12.0,11.0,17.0,11.0,14
7.0,8.0,16.0,11.0,13.0,13.0,12.0,11
9.0,11.0,14.0,8.0,12.0,12.0,7.0,13
11.0,13.0,12.0,9.0,17.0,10.0,15.0,10
14.0,12.0,17.0,19.0,16.0,14.0,13.0,15
12.0,7.0,15.0,9.0,6.0,12.0,11.0,14
6.0,15.0,13.0,16.0,11.0,11.0,13.0,12
16.0,13.0,19.0,11.0,11.0,10.0,9.0,13
7.0,6.0,11.0,14.0,18.0,12.0,6.0,10
15.0,9.0,15.0,13.0,10.0,11.0,10.0,14
14.0,9.0,11.0,10.0,10.0,15.0,17.0,12
11.0,13.0,16.0,15.0,10.0,15.0,12.0,13
7.0,11.0,8.0,14.0,15.0,16.0,11.0,12
10.0,11.0,12.0,9.0,13.0,16.0,6.0,12
15.0,15.0,7.0,19.0,15.0,13.0,6.0,10
13.0,12.0,14.0,10.0,8.0,8.0,13.0,12
9.0,13.0,18.0,6.0,11.0,19.0,14.0,15
19.0,13.0,18.0,16.0,16.0,8.0,17.0,10
12.0,10.0,15.0,10.0,8.0,12.0,16.0,12
11.0,14.0,17.0,12.0,12.0,9.0,10.0,13
12.0,6.0,13.0,19.0,12.0,12.0,9.0,12
14.0,11.0,19.0,14.0,14.0,13.0,10.0,13
6.0,10.0,15.0,6.0,14.0,14.0,14.0,15
13.0,13.0,11.0,17.0,7.0,8.0,8.0,15
8.0,15.0,11.0,15.0,7.0,10.0,9.0,14
12.0,13.0,13.0,9.0,17.0,11.0,15.0,12
19.0,17.0,7.0,19.0,11.0,15.0,12.0,15
12.0,12.0,14.0,15.0,8.0,6.0,10.0,14
7.0,8.0,16.0,14.0,9.0,9.0,10.0,12
10.0,11.0,12.0,15.0,11.0,6.0,12.0,12
11.0,10.0,15.0,6.0,7.0,9.0,18.0,14
8.0,10.0,13.0,12.0,6.0,12.0,10.0,13
13.0,15.0,13.0,9.0,6.0,13.0,14.0,14
13.0,6.0,9.0,6.0,12.0,9.0,13.0,15
9.0,6.0,6.0,14.0,14.0,10.0,6.0,15
8.0,13.0,10.0,8.0,15.0,13.0,8.0,10
6.0,18.0,14.0,8.0,13.0,11.0,6.0,14
11.0,10.0,12.0,8.0,13.0,12.0,14.0,14
9.0,17.0,11.0,19.0,13.0,12.0,9.0,10
16.0,19.0,14.0,11.0,12.0,18.0,10.0,11
12.0,10.0,14.0,13.0,13.0,13.0,11.0,14
13.0,11.0,6.0,15.0,8.0,15.0,13.0,12
15.0,11.0,6.0,11.0,6.0,16.0,14.0,15
6.0,14.0,12.0,6.0,9.0,10.0,13.0,14
12.0,6.0,15.0,9.0,13.0,9.0,15.0,15
12.0,8.0,7.0,14.0,14.0,10.0,14.0,12
17.0,11.0,7.0,17.0,10.0,11.0,6.0,15
14.0,13.0,9.0,13.0,10.0,9.0,6.0,14
16.0,13.0,18.0,17.0,10.0,14.0,9.0,10
12.0,18.0,13.0,14.0,8.0,11.0,11.0,13
14.0,9.0,9.0,19.0,19.0,16.0,10.0,15
9.0,11.0,17.0,15.0,15.0,14.0,17.0,15
11.0,15.0,6.0,8.0,10.0,14.0,11.0,14
15.0,15.0,15.0,11.0,15.0,11.0,14.0,12
6.0,14.0,12.0,15.0,12.0,15.0,15.0,15
9.0,11.0,6.0,12.0,11.0,17.0,13.0,15
11.0,7.0,15.0,11.0,12.0,11.0,10.0,15
13.0,17.0,9.0,12.0,14.0,10.0,16.0,11
14.0,13.0,12.0,10.0,8.0,15.0,11.0,11
14.0,7.0,10.0,19.0,16.0,13.0,16.0,13
14.0,16.0,11.0,6.0,10.0,12.0,12.0,15
17.0,10.0,13.0,7.0,16.0,8.0,18.0,10
15.0,7.0,15.0,19.0,11.0,15.0,12.0,11
14.0,15.0,19.0,19.0,7.0,9.0,11.0,10
13.0,10.0,17.0,8.0,6.0,13.0,6.0,13
14.0,12.0,6.0,10.0,14.0,16.0,15.0,15
10.0,12.0,8.0,19.0,10.0,15.0,16.0,11
9.0,14.0,16.0,17.0,15.0,19.0,17.0,13
10.0,14.0,8.0,6.0,19.0,13.0,11.0,12
13.0,15.0,6.0,17.0,13.0,14.0,16.0,15
13.0,9.0,8.0,18.0,14.0,11.0,9.0,14
14.0,18.0,15.0,12.0,11.0,19.0,6.0,13
10.0,11.0,8.0,12.0,17.0,13.0,6.0,11
6.0,11.0,15.0,15.0,9.0,14.0,10.0,15
6.0,14.0,11.0,16.0,7.0,13.0,12.0,13
10.0,7.0,14.0,12.0,18.0,8.0,16.0,10
6.0,16.0,9.0,13.0,14.0,13.0,8.0,13
14.0,14.0,12.0,13.0,8.0,12.0,12.0,15
6.0,10.0,15.0,12.0,12.0,7.0,15.0,10
10.0,11.0,7.0,13.0,11.0,8.0,15.0,14
12.0,11.0,16.0,10.0,9.0,19.0,12.0,12
16.0,15.0,6.0,11.0,12.0,10.0,13.0,11
17.0,10.0,12.0,12.0,12.0,10.0,15.0,12
6.0,9.0,7.0,13.0,15.0,16.0,16.0,13
7.0,12.0,15.0,12.0,14.0,15.0,12.0,12
10.0,10.0,17.0,13.0,10.0,9.0,16.0,15
8.0,14.0,19.0,12.0,8.0,6.0,15.0,15
8.0,13.0,19.0,14.0,11.0,11.0,15.0,12
10.0,11.0,16.0,17.0,10.0,16.0,13.0,14
6.0,13.0,12.0,12.0,13.0,18.0,12.0,11
14.0,18.0,10.0,6.0,7.0,6.0,16.0,14
18.0,11.0,18.0,11.0,15.0,14.0,9.0,12
11.0,15.0,7.0,12.0,9.0,9.0,14.0,11
8.0,17.0,13.0,9.0,7.0,15.0,13.0,13
8.0,14.0,11.0,18.0,14.0,9.0,12.0,11
18.0,17.0,10.0,6.0,16.0,9.0,19.0,12
7.0,10.0,18.0,13.0,16.0,17.0,6.0,12
9.0,15.0,14.0,10.0,8.0,13.0,15.0,13
15.0,8.0,10.0,16.0,16.0,14.0,10.0,11
15.0,11.0,6.0,6.0,6.0,13.0,16.0,15
14.0,13.0,8.0,14.0,8.0,9.0,14.0,14
14.0,7.0,11.0,10.0,11.0,9.0,10.0,15
11.0,16.0,17.0,12.0,14.0,15.0,9.0,12
15.0,13.0,7.0,13.0,13.0,10.0,8.0,12
8.0,9.0,19.0,8.0,11.0,13.0,16.0,14
8.0,6.0,11.0,6.0,6.0,16.0,12.0,14
18.0,7.0,10.0,14.0,17.0,13.0,11.0,11
7.0,14.0,6.0,14.0,13.0,14.0,12.0,13
19.0,17.0,18.0,8.0,14.0,8.0,12.0,12
12.0,13.0,15.0,15.0,13.0,15.0,8.0,14
15.0,18.0,9.0,16.0,10.0,15.0,8.0,11
15.0,10.0,16.0,13.0,12.0,14.0,9.0,12
9.0,12.0,13.0,11.0,11.0,8.0,15.0,14
13.0,10.0,13.0,15.0,12.0,14.0,16.0,14
15.0,12.0,6.0,14.0,6.0,11.0,11.0,15
16.0,13.0,10.0,11.0,14.0,6.0,19.0,10
9.0,8.0,8.0,19.0,8.0,12.0,6.0,13
16.0,10.0,10.0,9.0,13.0,15.0,15.0,11
13.0,8.0,12.0,6.0,8.0,12.0,12.0,12
11.0,9.0,6.0,9.0,12.0,9.0,12.0,15
10.0,10.0,12.0,7.0,8.0,7.0,19.0,11
14.0,13.0,6.0,9.0,18.0,12.0,9.0,13
14.0,19.0,11.0,12.0,10.0,11.0,6.0,13
6.0,13.0,8.0,9.0,9.0,9.0,9.0,13
7.0,15.0,9.0,13.0,19.0,8.0,18.0,12
10.0,14.0,10.0,16.0,19.0,13.0,14.0,11
12.0,19.0,6.0,10.0,12.0,12.0,18.0,13
15.0,9.0,17.0,9.0,6.0,11.0,7.0,15
12.0,10.0,9.0,13.0,12.0,12.0,13.0,10
12.0,9.0,14.0,8.0,10.0,15.0,8.0,12
13.0,14.0,14.0,10.0,15.0,13.0,6.0,14
9.0,11.0,7.0,9.0,15.0,10.0,13.0,12
19.0,7.0,10.0,7.0,8.0,14.0,13.0,10
6.0,17.0,14.0,14.0,13.0,13.0,12.0,13
11.0,15.0,19.0,9.0,13.0,14.0,14.0,11
7.0,11.0,12.0,11.0,15.0,17.0,12.0,10
12.0,9.0,13.0,9.0,16.0,10.0,10.0,14
16.0,14.0,19.0,13.0,9.0,15.0,8.0,15
10.0,10.0,9.0,6.0,14.0,12.0,15.0,12
10.0,16.0,9.0,17.0,17.0,6.0,19.0,14
15.0,12.0,12.0,10.0,19.0,17.0,7.0,11
12.0,14.0,14.0,7.0,13.0,15.0,8.0,15
13.0,6.0,12.0,15.0,15.0,13.0,14.0,10
13.0,19.0,15.0,14.0,19.0,8.0,15.0,14
14.0,10.0,12.0,6.0,16.0,7.0,10.0,12
11.0,19.0,16.0,17.0,10.0,10.0,19.0,12
10.0,11.0,10.0,19.0,10.0,12.0,11.0,10
9.0,6.0,12.0,11.0,19.0,13.0,19.0,11
18.0,13.0,14.0,16.0,17.0,10.0,14.0,14
9.0,15.0,12.0,10.0,12.0,6.0,14.0,13
7.0,8.0,7.0,12.0,19.0,17.0,14.0,14
7.0,14.0,14.0,13.0,15.0,14.0,16.0,10
11.0,11.0,8.0,11.0,6.0,12.0,9.0,13
7.0,6.0,9.0,13.0,16.0,17.0,16.0,12
11.0,16.0,13.0,14.0,10.0,7.0,12.0,10
10.0,8.0,10.0,12.0,16.0,14.0,14.0,15
14.0,14.0,16.0,11.0,17.0,12.0,13.0,12
6.0,18.0,7.0,12.0,15.0,15.0,12.0,10
13.0,16.0,10.0,17.0,15.0,8.0,15.0,12
13.0,16.0,18.0,15.0,14.0,8.0,9.0,14
10.0,14.0,18.0,8.0,6.0,10.0,11.0,14
15.0,14.0,19.0,13.0,6.0,9.0,13.0,10
6.0,9.0,11.0,9.0,12.0,17.0,6.0,10
10.0,18.0,8.0,7.0,8.0,17.0,6.0,14
16.0,14.0,12.0,16.0,15.0,19.0,12.0,12
13.0,10.0,17.0,11.0,13.0,10.0,9.0,11
11.0,11.0,17.0,11.0,14.0,13.0,6.0,15
8.0,11.0,14.0,16.0,13.0,17.0,9.0,13
15.0,6.0,11.0,11.0,11.0,14.0,8.0,14
16.0,11.0,7.0,12.0,13.0,16.0,17.0,11
6.0,10.0,9.0,18.0,12.0,10.0,7.0,15
10.0,11.0,12.0,12.0,15.0,13.0,13.0,14
12.0,14.0,13.0,11.0,10.0,6.0,10.0,14
8.0,10.0,10.0,7.0,10.0,8.0,9.0,13
10.0,19.0,9.0,6.0,8.0,15.0,18.0,13
10.0,11.0,9.0,12.0,10.0,10.0,8.0,10
10.0,14.0,12.0,9.0,6.0,8.0,16.0,13
6.0,16.0,8.0,12.0,6.0,13.0,11.0,11
12.0,19.0,7.0,13.0,7.0,11.0,13.0,14
8.0,11.0,9.0,11.0,19.0,6.0,10.0,13
11.0,6.0,19.0,12.0,17.0,18.0,17.0,11
17.0,17.0,7.0,18.0,15.0,13.0,15.0,15
12.0,11.0,19.0,15.0,7.0,9.0,10.0,11
6.0,16.0,15.0,15.0,19.0,14.0,10.0,10
15.0,15.0,13.0,11.0,11.0,7.0,11.0,11
19.0,19.0,6.0,6.0,10.0,8.0,17.0,13
10.0,11.0,16.0,9.0,10.0,8.0,15.0,10
19.0,16.0,10.0,9.0,11.0,6.0,15.0,14
6.0,10.0,12.0,13.0,17.0,16.0,16.0,11
8.0,15.0,13.0,11.0,12.0,6.0,8.0,14
8.0,13.0,16.0,15.0,9.0,11.0,14.0,10
14.0,6.0,12.0,13.0,12.0,16.0,17.0,13
6.0,13.0,13.0,9.0,17.0,12.0,10.0,15
8.0,19.0,11.0,16.0,14.0,9.0,13.0,14
6.0,13.0,14.0,6.0,12.0,7.0,14.0,14
9.0,16.0,9.0,7.0,12.0,16.0,13.0,13
18.0,14.0,14.0,11.0,14.0,9.0,17.0,15
6.0,9.0,10.0,19.0,13.0,13.0,16.0,15
6.0,19.0,6.0,10.0,12.0,12.0,17.0,10
6.0,13.0,16.0,14.0,10.0,8.0,17.0,10
19.0,6.0,6.0,12.0,14.0,6.0,14.0,12
17.0,9.0,17.0,11.0,13.0,18.0,9.0,14
12.0,7.0,11.0,17.0,17.0,9.0,13.0,13
13.0,8.0,13.0,10.0,14.0,15.0,13.0,13
11.0,9.0,6.0,17.0,15.0,18.0,6.0,11
13.0,16.0,17.0,15.0,15.0,9.0,14.0,11
15.0,12.0,19.0,9.0,7.0,12.0,14.0,11
17.0,11.0,12.0,14.0,7.0,13.0,18.0,15
14.0,17.0,12.0,15.0,10.0,9.0,14.0,14
6.0,10.0,9.0,14.0,13.0,11.0,17.0,12
